Season,Date,Opponent,W/L,Score,G
2020,12/11/20,at Boston College,W,4-1,4
2020,12/13/20,Boston College,L,1-2,1
2020,01/03/21,Maine,W,3-0,3
2020,01/04/21,Maine,W,1-0,1
2020,01/08/21,New Hampshire,W,3-1,3
2020,01/09/21,at New Hampshire,T,2-2,2
2020,1/12/21,Providence,W,4-0,4
2020,1/17/21,Maine,W,3-2,3
2020,1/22/21,Providence,W,4-1,4
2020,1/23/21,at Providence,W,5-0,5
2020,1/26/21,UConn,W,2-0,2
2020,1/29/21,Merrimack,W,5-0,5
2020,1/30/21,at Merrimack,W,6-0,6
2020,02/05/21,at Holy Cross,W,8-0,8
2020,02/06/21,Holy Cross,W,12-0,12
2020,2/13/21,at New Hampshire,W,6-1,6
2020,2/14/21,New Hampshire,W,4-1,4
2020,2/19/21,at Vermont,W,3-1,3
2020,2/20/21,at Vermont,W,4-1,4
2020,2/28/21,New Hampshire,W,7-0,7
2020,03/03/21,Connecticut,W,2-1,2
2020,03/06/21,Providence,W,6-2,6
2020,3/15/21,Robert Morris,W,5-1,5
2020,3/18/21,Minn. Duluth,W,3-2,3
2020,3/20/21,Wisconsin,L,1-2,1